Protein IDs,Majority protein IDs,Fasta headers,LFQ intensity IDI-1,LFQ intensity IDI-2,LFQ intensity IDI-3,LFQ intensity IDLL-1,LFQ intensity IDLL-2,LFQ intensity IDLL-3,Mol. weight [kDa],Sequence length
E9FUU9,E9FUU9,tr|E9FUU9|E9FUU9_DAPPU Ribosomal_S7 domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_206542 PE=3 SV=1,0,0,4082200,0,0,0,26.985,233
E9FUV4,E9FUV4,tr|E9FUV4|E9FUV4_DAPPU Fumarylacetoacetase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_206552 PE=3 SV=1,17391000,16672000,15389000,0,0,0,46.38,418
E9FUV9,E9FUV9,tr|E9FUV9|E9FUV9_DAPPU Protein disulfide-isomerase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_234212 PE=3 SV=1,4961100000,4528100000,4206900000,1325900000,1221700000,1275200000,58.292,519
E9FUW3,E9FUW3,"tr|E9FUW3|E9FUW3_DAPPU Leucine-rich PPR motif-containing protein, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304790 PE=4 SV=1",16509000,17008000,17986000,0,0,0,151.82,1365
E9FUX0,E9FUX0,"tr|E9FUX0|E9FUX0_DAPPU Guanine nucleotide binding protein, beta subunit OS=Daphnia pulex OX=6669 GN=Gnb1 PE=3 SV=1",1120200000,1169400000,1247100000,189800000,261950000,264760000,37.327,340
E9FUY0,E9FUY0,"tr|E9FUY0|E9FUY0_DAPPU Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_187192 PE=4 SV=1",737250000,649360000,651050000,0,29765000,27172000,79.241,716
E9FUZ2,E9FUZ2,tr|E9FUZ2|E9FUZ2_DAPPU CSD domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_311200 PE=4 SV=1,0,0,0,0,0,2495600,34.919,322
E9FUZ4,E9FUZ4,tr|E9FUZ4|E9FUZ4_DAPPU CG2206-PB-like protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_299695 PE=4 SV=1,14366000,11484000,12098000,0,0,0,82.494,731
E9FV57,E9FV57,tr|E9FV57|E9FV57_DAPPU Arginine kinase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_220693 PE=3 SV=1,2513300000,1315600000,634340000,165690000,111040000,152070000,39.941,357
E9FV61,E9FV61,tr|E9FV61|E9FV61_DAPPU Protein transport protein SEC23 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_190968 PE=3 SV=1,3331700,0,0,0,0,0,85.576,769
E9FV72,E9FV72,tr|E9FV72|E9FV72_DAPPU STAS domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_310695 PE=3 SV=1,0,0,4626500,0,0,0,67.625,626
E9FV79,E9FV79,tr|E9FV79|E9FV79_DAPPU NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_230203 PE=3 SV=1,109410000,93394000,114010000,0,0,0,19.734,165
E9FV80;E9HG79,E9FV80;E9HG79,tr|E9FV80|E9FV80_DAPPU 60S ribosomal protein L3 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_206128 PE=3 SV=1;tr|E9HG79|E9HG79_DAPPU 60S ribosomal protein L3 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_301006 PE=3 SV=1,21986000,23623000,33869000,0,0,0,46.687,412
E9FV83,E9FV83,tr|E9FV83|E9FV83_DAPPU 3-ketodihydrosphingosine reductase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_310703 PE=3 SV=1,0,0,3149300,0,0,0,36.775,336
E9FV88,E9FV88,tr|E9FV88|E9FV88_DAPPU Prominin-like protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_95295 PE=3 SV=1,0,0,0,0,0,3644400,114.35,1042
E9FVF0,E9FVF0,tr|E9FVF0|E9FVF0_DAPPU Ornithine aminotransferase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_41314 PE=3 SV=1,183970000,141830000,128740000,0,0,0,44.379,404
E9FVF3,E9FVF3,tr|E9FVF3|E9FVF3_DAPPU Carbonyl reductase OS=Daphnia pulex OX=6669 GN=CBR1 PE=4 SV=1,17549000,19742000,16671000,0,0,0,26.832,256
E9FVG7,E9FVG7,tr|E9FVG7|E9FVG7_DAPPU Apolipophorins OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304661 PE=4 SV=1,75346000,80293000,61869000,58369000,78880000,55597000,349.57,3139
E9FVL2,E9FVL2,tr|E9FVL2|E9FVL2_DAPPU Transcriptional activator protein Pur-beta OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_95385 PE=3 SV=1,0,0,5424000,0,0,0,25.126,220
E9FVL8,E9FVL8,tr|E9FVL8|E9FVL8_DAPPU Glutathione peroxidase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_220769 PE=3 SV=1,56336000,54363000,57264000,0,0,0,16.422,146
E9FVM9,E9FVM9,tr|E9FVM9|E9FVM9_DAPPU AMP_N domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_126867 PE=4 SV=1,0,0,3420000,0,0,0,53.045,474
E9FVQ7,E9FVQ7,tr|E9FVQ7|E9FVQ7_DAPPU Fascilin 2-like protein OS=Daphnia pulex OX=6669 GN=FAS PE=4 SV=1,1011800000,1128000000,1068500000,168860000,266250000,178120000,79.215,707
E9FVQ8,E9FVQ8,tr|E9FVQ8|E9FVQ8_DAPPU Sortilin-related receptor OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304684 PE=3 SV=1,14259000,12624000,13198000,0,0,0,231.5,2092
E9FVV3,E9FVV3,tr|E9FVV3|E9FVV3_DAPPU Asp_Arg_Hydrox domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_191117 PE=3 SV=1,0,6081000,0,0,0,0,45.349,397
E9FVV4,E9FVV4,tr|E9FVV4|E9FVV4_DAPPU Fibrous sheath CABYR-binding protein-like OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_310872 PE=4 SV=1,83694000,72775000,65641000,0,0,0,59.906,543
E9FVW5,E9FVW5,tr|E9FVW5|E9FVW5_DAPPU 5-nucleotidase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304700 PE=3 SV=1,0,0,2577000,0,0,0,65.829,586
E9FVX2,E9FVX2,tr|E9FVX2|E9FVX2_DAPPU Uricase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_233847 PE=3 SV=1,60615000,54395000,51030000,0,0,0,33.292,296
E9FVX4,E9FVX4,"tr|E9FVX4|E9FVX4_DAPPU Presequence protease, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_310892 PE=3 SV=1",61877000,59596000,56165000,0,0,0,111.79,994
E9FVX8,E9FVX8,"tr|E9FVX8|E9FVX8_DAPPU Lectin, mannose-binding, 1 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_191157 PE=4 SV=1",76913000,64637000,59252000,0,0,0,57.702,510
E9FVY2,E9FVY2,tr|E9FVY2|E9FVY2_DAPPU Talin-2 (Fragment) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_41019 PE=4 SV=1,64708000,60529000,59033000,59684000,59364000,0,274.1,2565
E9FVY9,E9FVY9,tr|E9FVY9|E9FVY9_DAPPU Maestro heat-like repeat-containing protein family member 1 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304709 PE=4 SV=1,0,10335000,0,0,0,0,206.43,1877
E9FVZ4,E9FVZ4,tr|E9FVZ4|E9FVZ4_DAPPU 60S ribosomal protein L7 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_220840 PE=3 SV=1,107680000,79150000,90973000,33631000,41901000,37595000,30.062,260
E9FW02,E9FW02,"tr|E9FW02|E9FW02_DAPPU Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304712 PE=3 SV=1",790610000,932480000,960500000,0,0,0,28.995,273
E9GPW5;E9G0K8;E9G094;E9FZI8;E9FZ96;E9FW12;E9G096;E9GGX6;E9GPQ2;E9HYM4,E9GPW5;E9G0K8;E9G094;E9FZI8;E9FZ96;E9FW12;E9G096;E9GGX6;E9GPQ2;E9HYM4,tr|E9GPW5|E9GPW5_DAPPU Histone domain-containing protein (Fragment) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_320454 PE=3 SV=1;tr|E9G0K8|E9G0K8_DAPPU Histone H2B OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_312357 PE=3 SV=1;tr|E9G094|E9G094_DAPPU Histone H2B OS=Dap,200490000,230980000,221910000,231540000,210500000,70240000,13.281,121
E9FW25,E9FW25,tr|E9FW25|E9FW25_DAPPU Solute carrier family 12 member 6 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_41064 PE=4 SV=1,0,11959000,9578100,0,0,0,113.19,1032
E9FW31,E9FW31,tr|E9FW31|E9FW31_DAPPU HIT domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304630 PE=4 SV=1,11541000,10240000,9285600,0,0,0,16.487,146
E9FW49,E9FW49,tr|E9FW49|E9FW49_DAPPU Nudix hydrolase domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304728 PE=3 SV=1,0,0,5330400,0,0,0,41.829,364
E9FW64,E9FW64,tr|E9FW64|E9FW64_DAPPU Spectrin alpha chain OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_206384 PE=3 SV=1,2118500000,1872000000,1854500000,604080000,548210000,491550000,279.49,2431
E9FW72,E9FW72,tr|E9FW72|E9FW72_DAPPU Myosin regulatory light chain OS=Daphnia pulex OX=6669 GN=MLC2 PE=4 SV=1,1523000000,1632900000,1698200000,514290000,550120000,512020000,22.418,209
E9FW74,E9FW74,tr|E9FW74|E9FW74_DAPPU Heat shock 70 kDa protein cognate 3 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304735 PE=3 SV=1,2397400000,2478500000,2535500000,1245700000,1237000000,1215100000,73.082,659
E9FW76;E9HNW5,E9FW76;E9HNW5,tr|E9FW76|E9FW76_DAPPU Tubulin alpha chain OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_220904 PE=3 SV=1;tr|E9HNW5|E9HNW5_DAPPU Tubulin alpha chain OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_116198 PE=3 SV=1,0,0,0,0,0,8664000,49.984,450
E9FW82,E9FW82,tr|E9FW82|E9FW82_DAPPU Folate receptor 1-like protein (Fragment) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_299512 PE=3 SV=1,0,0,8246900,0,0,0,30.553,261
E9FW91,E9FW91,tr|E9FW91|E9FW91_DAPPU Ras-related protein Rab-2A OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304738 PE=4 SV=1,94403000,103940000,107090000,75777000,71339000,57112000,23.519,212
E9FWB0,E9FWB0,tr|E9FWB0|E9FWB0_DAPPU Heme-binding protein 2 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305568 PE=3 SV=1,87618000,95682000,99889000,0,0,0,34.403,303
E9FWB9,E9FWB9,tr|E9FWB9|E9FWB9_DAPPU Dynamin GTPase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_42230 PE=3 SV=1,11187000,9617800,9451900,0,0,0,98.668,885
E9FWC1,E9FWC1,tr|E9FWC1|E9FWC1_DAPPU Eukaryotic translation initiation factor 3 subunit G OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_230293 PE=3 SV=1,0,6495700,8100500,0,0,0,32.517,293
E9FWH2,E9FWH2,tr|E9FWH2|E9FWH2_DAPPU Ufm1-specific protease 2 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_221117 PE=3 SV=1,0,0,2447900,0,0,0,22.631,201
E9FWI4,E9FWI4,"tr|E9FWI4|E9FWI4_DAPPU Guanine nucleotide binding protein, alpha stimulating activity polypeptide OS=Daphnia pulex OX=6669 GN=Gnas PE=3 SV=1",45055000,37627000,37678000,0,0,0,44.377,379
E9FWJ5,E9FWJ5,tr|E9FWJ5|E9FWJ5_DAPPU C-type lectin domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305445 PE=4 SV=1,0,0,4926000,0,0,0,29.678,268
E9FWQ5,E9FWQ5,tr|E9FWQ5|E9FWQ5_DAPPU Chitin-binding type-2 domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_311375 PE=4 SV=1,7899600,8408600,0,0,0,0,227.73,2207
E9FWR4;E9FWR6;E9FWR7,E9FWR4;E9FWR6,tr|E9FWR4|E9FWR4_DAPPU Cytochrome P450 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_42144 PE=3 SV=1;tr|E9FWR6|E9FWR6_DAPPU Cytochrome P450 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_311386 PE=3 SV=1,21108000,20998000,22588000,0,0,0,57.892,509
E9FWR5,E9FWR5,tr|E9FWR5|E9FWR5_DAPPU Cytochrome P450 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_311385 PE=3 SV=1,0,0,6192700,0,0,0,58.073,511
E9FWW9,E9FWW9,tr|E9FWW9|E9FWW9_DAPPU Sodium/potassium-transporting ATPase subunit alpha OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305634 PE=3 SV=1,1852000000,1861500000,1933900000,731970000,746280000,804000000,109.26,992
E9FWY0;CON__ENSEMBL:ENSBTAP00000025008,E9FWY0,tr|E9FWY0|E9FWY0_DAPPU Tubulin beta chain OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305638 PE=3 SV=1,370780000,359420000,374630000,361660000,401490000,443240000,49.998,446
E9FX08,E9FX08,tr|E9FX08|E9FX08_DAPPU T-complex protein 1 subunit eta OS=Daphnia pulex OX=6669 GN=EOG090X03U0 PE=2 SV=1,24615000,28968000,22703000,0,14863000,0,58.651,536
E9FX34,E9FX34,tr|E9FX34|E9FX34_DAPPU Nucleoplasmin domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305495 PE=3 SV=1,0,2939400,0,0,0,0,19.624,176
E9FX66,E9FX66,"tr|E9FX66|E9FX66_DAPPU Dynein heavy chain, cytoplasmic OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305659 PE=3 SV=1",4101900,0,3380400,0,0,0,534.14,4665
E9FX71,E9FX71,tr|E9FX71|E9FX71_DAPPU Transket_pyr domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_311540 PE=3 SV=1,137860000,185680000,81530000,0,26266000,20136000,102.39,921
E9FXB0,E9FXB0,tr|E9FXB0|E9FXB0_DAPPU Protein 5NUC OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_311578 PE=3 SV=1,0,0,2457200,0,0,0,55.798,506
E9FXB2,E9FXB2,tr|E9FXB2|E9FXB2_DAPPU 40S ribosomal protein S9 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_230321 PE=3 SV=1,101810000,88925000,83469000,67561000,82092000,58235000,22.549,194
E9FXD5;E9GRD5;E9FXD3;E9FXE0;E9FXD7,E9FXD5;E9GRD5;E9FXD3;E9FXE0;E9FXD7,tr|E9FXD5|E9FXD5_DAPPU Cytochrome P450 3A24 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_311604 PE=3 SV=1;tr|E9GRD5|E9GRD5_DAPPU Cytochrome P450 3A24 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_225529 PE=3 SV=1;tr|E9FXD3|E9FXD3_DAPPU Cytochrome P450 3A24 OS=Daphnia p,53255000,48138000,43245000,0,0,0,59.534,515
E9FXG1;E9GTU6;E9HFF9,E9FXG1,tr|E9FXG1|E9FXG1_DAPPU Sodium/potassium-transporting ATPase subunit alpha OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305693 PE=3 SV=1,4097400000,4506300000,4508200000,2206500000,2227200000,2166400000,110.98,1004
E9FXH1,E9FXH1,tr|E9FXH1|E9FXH1_DAPPU 5-nucleotidase/apyrase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_42388 PE=3 SV=1,6516100,6956400,6972800,0,0,0,66.953,615
E9FXH2,E9FXH2,tr|E9FXH2|E9FXH2_DAPPU UDP-glucose 4-epimerase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305695 PE=3 SV=1,0,0,2839900,0,0,0,41.201,371
E9FXH8,E9FXH8,tr|E9FXH8|E9FXH8_DAPPU Cuticle protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_221306 PE=4 SV=1,0,0,3831000,0,0,0,49.643,464
E9FXJ1,E9FXJ1,tr|E9FXJ1|E9FXJ1_DAPPU Hemoglobin OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_230332 PE=3 SV=1,0,0,0,0,0,19082000,38.569,351
E9FXK7,E9FXK7,tr|E9FXK7|E9FXK7_DAPPU Phosphatidylethanolamine-binding protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_42659 PE=4 SV=1,67603000,58611000,57429000,0,0,0,20.141,180
E9FXP0,E9FXP0,tr|E9FXP0|E9FXP0_DAPPU Lactamase_B domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_96363 PE=3 SV=1,24474000,0,23136000,0,0,0,28.87,259
E9FXP8,E9FXP8,tr|E9FXP8|E9FXP8_DAPPU Protein Skeletor OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305711 PE=4 SV=1,0,9531400,0,0,0,0,74.476,663
E9FXR3,E9FXR3,tr|E9FXR3|E9FXR3_DAPPU GrpE protein homolog OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305539 PE=3 SV=1,0,0,1653700,0,0,0,24.263,217
E9FXS0,E9FXS0,tr|E9FXS0|E9FXS0_DAPPU G protein-activated inward rectifier potassium channel 3-like OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_311738 PE=3 SV=1,0,0,1631800,0,0,0,62.555,557
E9I4Z3;E9H9B1;E9GHM9;E9GHN2;E9H9B5;E9H4N4;E9H4N9;E9H4T8;E9HPL6;E9HXQ4;E9H9B8;E9HPL2;E9HPL4;E9HPL5;E9FXT2;E9GHT0;E9HPM4,E9I4Z3;E9H9B1;E9GHM9;E9GHN2;E9H9B5;E9H4N4;E9H4N9;E9H4T8;E9HPL6;E9HXQ4;E9H9B8;E9HPL2;E9HPL4;E9HPL5;E9FXT2;E9GHT0;E9HPM4,tr|E9I4Z3|E9I4Z3_DAPPU Endocuticle structural glycoprotein SgAbd-2 (Fragment) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_19167 PE=4 SV=1;tr|E9H9B1|E9H9B1_DAPPU Endocuticle structural glycoprotein SgAbd-2 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_255498 PE=4 SV=1;,0,0,12150000,0,0,0,8.7463,83
E9FXU0,E9FXU0,tr|E9FXU0|E9FXU0_DAPPU Cuticlin-1 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305719 PE=4 SV=1,27025000,20905000,24289000,0,0,0,75.641,676
E9FXU5,E9FXU5,tr|E9FXU5|E9FXU5_DAPPU HP domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_311761 PE=3 SV=1,146670000,144610000,135920000,0,0,0,92.299,833
E9FXV0,E9FXV0,tr|E9FXV0|E9FXV0_DAPPU GRAM domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305547 PE=4 SV=1,0,0,3838700,0,0,0,28.164,257
E9FXV8;E9HGF5;E9H3B3,E9FXV8;E9HGF5,tr|E9FXV8|E9FXV8_DAPPU Cytoplasmatic actin OS=Daphnia pulex OX=6669 GN=ACT1A PE=3 SV=1;tr|E9HGF5|E9HGF5_DAPPU Cytoplasmatic actin OS=Daphnia pulex OX=6669 GN=ACT1B PE=3 SV=1,2171800000,1969400000,2029100000,1180900000,1095200000,1100600000,41.837,376
E9FXW1,E9FXW1,tr|E9FXW1|E9FXW1_DAPPU Histidine ammonia-lyase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_42116 PE=3 SV=1,10446000,8344500,6677900,0,0,0,73.6,672
E9FXX5,E9FXX5,tr|E9FXX5|E9FXX5_DAPPU Prostaglandin reductase 1 OS=Daphnia pulex OX=6669 GN=LTB4 PE=3 SV=1,12589000,13669000,12238000,0,0,0,37.023,339
E9FXX9,E9FXX9,"tr|E9FXX9|E9FXX9_DAPPU Isobutyryl-CoA dehydrogenase, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_187305 PE=3 SV=1",41127000,36094000,35910000,0,0,0,44.508,404
E9FY06,E9FY06,tr|E9FY06|E9FY06_DAPPU 60S ribosomal protein L21 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305566 PE=3 SV=1,9799900,7922800,8306100,0,0,0,18.391,160
E9FY35,E9FY35,tr|E9FY35|E9FY35_DAPPU Methylmalonyl-CoA mutase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_311841 PE=3 SV=1,95776000,91120000,152620000,44625000,40832000,0,80.966,734
E9FY41,E9FY41,tr|E9FY41|E9FY41_DAPPU Glutamate dehydrogenase (NAD(P)(+)) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_187316 PE=3 SV=1,1561400000,1528100000,1510200000,560650000,547890000,507310000,62.06,560
E9FY51,E9FY51,tr|E9FY51|E9FY51_DAPPU Thioredoxin domain-containing protein 5 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_43137 PE=4 SV=1,8035700,5884800,5927800,0,0,0,42.363,381
E9FY58,E9FY58,tr|E9FY58|E9FY58_DAPPU 26S proteasome regulatory subunit 7 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_306359 PE=3 SV=1,0,0,0,0,0,18039000,48.65,434
E9FY65,E9FY65,tr|E9FY65|E9FY65_DAPPU Carn_acyltransf domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_221441 PE=3 SV=1,19572000,14259000,15129000,0,0,0,70.069,619
E9FY70,E9FY70,tr|E9FY70|E9FY70_DAPPU Protein Skeletor OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_42799 PE=4 SV=1,314910000,231410000,377290000,246210000,102520000,170100000,75.99,689
E9FY81,E9FY81,"tr|E9FY81|E9FY81_DAPPU Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_306482 PE=3 SV=1",152440000,135770000,220910000,69588000,71636000,0,45.941,420
E9FYB3,E9FYB3,tr|E9FYB3|E9FYB3_DAPPU Monocopper oxidase-like protein SKU5 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_221461 PE=4 SV=1,0,0,1008400,0,0,0,47.925,419
E9FYB8,E9FYB8,tr|E9FYB8|E9FYB8_DAPPU Chitin-binding type-2 domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_235148 PE=3 SV=1,195070000,190780000,153170000,0,0,104040000,153.83,1388
E9FYC3,E9FYC3,tr|E9FYC3|E9FYC3_DAPPU T-complex protein 1 subunit zeta OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_306375 PE=3 SV=1,0,0,2649900,0,0,0,58.145,530
E9FYC7,E9FYC7,tr|E9FYC7|E9FYC7_DAPPU Sep15_SelM domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_96603 PE=3 SV=1,25223000,23057000,22695000,0,0,0,14.04,122
E9FYD4,E9FYD4,tr|E9FYD4|E9FYD4_DAPPU Protein disulfide-isomerase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_306380 PE=3 SV=1,170110000,142080000,135810000,0,0,0,46.922,432
E9FYH7,E9FYH7,tr|E9FYH7|E9FYH7_DAPPU 2-hydroxyacyl-CoA lyase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_306512 PE=3 SV=1,126540000,120820000,119140000,0,0,0,60.826,566
E9FYI0,E9FYI0,tr|E9FYI0|E9FYI0_DAPPU NIF3-like protein 1 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_43076 PE=3 SV=1,0,0,936680,0,0,0,35.74,325
E9FYI9,E9FYI9,tr|E9FYI9|E9FYI9_DAPPU PSI domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_306515 PE=3 SV=1,49598000,44469000,50100000,0,0,0,61.046,548
E9FYJ7,E9FYJ7,tr|E9FYJ7|E9FYJ7_DAPPU Myosin-IA OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_235238 PE=3 SV=1,6829200,6884700,7490700,0,0,0,120.55,1054
E9FYK1,E9FYK1,tr|E9FYK1|E9FYK1_DAPPU MFS domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_312006 PE=3 SV=1,160420000,148480000,166630000,0,0,0,57.542,529
E9FYK4;E9FYK5;E9FYK3,E9FYK4;E9FYK5;E9FYK3,tr|E9FYK4|E9FYK4_DAPPU Peroxinectin OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_96677 PE=4 SV=1;tr|E9FYK5|E9FYK5_DAPPU Peroxidase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_312010 PE=4 SV=1;tr|E9FYK3|E9FYK3_DAPPU Peroxinectin OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_,8643400,9177400,10442000,0,0,0,53.091,485
E9FYL3,E9FYL3,tr|E9FYL3|E9FYL3_DAPPU Sodium/nucleoside cotransporter OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_306527 PE=3 SV=1,9102700,6326100,0,0,0,0,71.571,655
E9FYM6,E9FYM6,tr|E9FYM6|E9FYM6_DAPPU MHD domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_306409 PE=3 SV=1,9725500,0,8768000,0,0,0,49.587,434
E9FYN6,E9FYN6,tr|E9FYN6|E9FYN6_DAPPU Proline dehydrogenase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_207386 PE=3 SV=1,35133000,29889000,40540000,25078000,0,22629000,60.387,529
E9FYP9,E9FYP9,tr|E9FYP9|E9FYP9_DAPPU Serine/threonine-protein phosphatase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_312053 PE=3 SV=1,26333000,16355000,24914000,0,0,0,61.42,560
E9FYQ3;E9FYQ2,E9FYQ3;E9FYQ2,"tr|E9FYQ3|E9FYQ3_DAPPU ABC protein, subfamily ABCA OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_312056 PE=4 SV=1;tr|E9FYQ2|E9FYQ2_DAPPU ABC protein, subfamily ABCA OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_312055 PE=4 SV=1",15114000,11972000,10902000,0,0,0,242.31,2147
E9FYR9,E9FYR9,tr|E9FYR9|E9FYR9_DAPPU Protein quiver OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_207414 PE=3 SV=1,0,0,0,0,0,40166000,17.078,154
E9FYS0,E9FYS0,tr|E9FYS0|E9FYS0_DAPPU Protein quiver OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_306416 PE=3 SV=1,73295000,58543000,58717000,0,0,0,16.978,153
E9FYT4,E9FYT4,tr|E9FYT4|E9FYT4_DAPPU Chitinase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_306550 PE=3 SV=1,21360000,13589000,16433000,0,0,0,154.5,1402
