Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides IDI-1,Peptides IDI-2,Peptides IDI-3,Peptides IDLL-1,Peptides IDLL-2,Peptides IDLL-3,Razor + unique peptides IDI-1,Razor + unique peptides IDI-2,Razor + unique peptides IDI-3,Razor + unique peptides IDLL-1,Razor + unique peptides IDLL-2,Razor + unique peptides IDLL-3,Unique peptides IDI-1,Unique peptides IDI-2,Unique peptides IDI-3,Unique peptides IDLL-1,Unique peptides IDLL-2,Unique peptides IDLL-3,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Identification type IDI-1,Identification type IDI-2,Identification type IDI-3,Identification type IDLL-1,Identification type IDLL-2,Identification type IDLL-3,Sequence coverage IDI-1 [%],Sequence coverage IDI-2 [%],Sequence coverage IDI-3 [%],Sequence coverage IDLL-1 [%],Sequence coverage IDLL-2 [%],Sequence coverage IDLL-3 [%],Intensity,Intensity IDI-1,Intensity IDI-2,Intensity IDI-3,Intensity IDLL-1,Intensity IDLL-2,Intensity IDLL-3,iBAQ peptides,iBAQ,iBAQ IDI-1,iBAQ IDI-2,iBAQ IDI-3,iBAQ IDLL-1,iBAQ IDLL-2,iBAQ IDLL-3,LFQ intensity IDI-1,LFQ intensity IDI-2,LFQ intensity IDI-3,LFQ intensity IDLL-1,LFQ intensity IDLL-2,LFQ intensity IDLL-3,MS/MS count IDI-1,MS/MS count IDI-2,MS/MS count IDI-3,MS/MS count IDLL-1,MS/MS count IDLL-2,MS/MS count IDLL-3,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
E9GRP7,E9GRP7,1,1,1,tr|E9GRP7|E9GRP7_DAPPU Mitochondrial import inner membrane translocase subunit TIM44 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305300 PE=3 SV=1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,3.1,3.1,3.1,47.871,420,420,0.0,2.7732,By MS/MS,By MS/MS,,,,,3.1,3.1,0.0,0.0,0.0,0.0,9143300,4413800,4729500,0,0,0,0,26,351670,169760.0,181900.0,0,0.0,0.0,0.0,0,4624100,0,0,0,0,1,1,0,0,0,0,2,,,,799,5998,True,6252,26287;26288,19905;19906,19905,,,-1
E9GRT9,E9GRT9,1,1,1,tr|E9GRT9|E9GRT9_DAPPU W2 domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_198197 PE=3 SV=1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,3.3,3.3,3.3,47.817,418,418,0.0071259,1.2977,By MS/MS,,By MS/MS,,,,3.3,0.0,3.3,0.0,0.0,0.0,6459000,3333400,0,3125600,0,0,0,26,248420,128210.0,0.0,120220,0.0,0.0,0.0,0,0,3217400,0,0,0,0,0,0,0,0,0,0,,,,800,4640,True,4845,20319;20320,15376;15377,15377,,,-1
E9GS30,E9GS30,1,1,1,tr|E9GS30|E9GS30_DAPPU Subtilisin OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305346 PE=4 SV=1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.5,2.5,2.5,63.711,562,562,0.0,2.4334,,By MS/MS,,,,,0.0,2.5,0.0,0.0,0.0,0.0,3701800,0,3701800,0,0,0,0,20,185090,0.0,185090.0,0,0.0,0.0,0.0,0,3619300,0,0,0,0,0,1,0,0,0,0,1,,,,801,1467,True,1520,6324,4731,4731,,,-1
E9GS31,E9GS31,6,6,6,tr|E9GS31|E9GS31_DAPPU DAO domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305386 PE=4 SV=1,1,6,6,6,6,6,6,0,0,1,6,6,6,0,0,1,6,6,6,0,0,1,14.5,14.5,14.5,51.172,462,462,0.0,19.072,By MS/MS,By MS/MS,By MS/MS,,,By matching,14.5,14.5,14.5,0.0,0.0,1.9,100070000,28247000,36966000,34376000,0,0,478380,25,4002700,1129900.0,1478600.0,1375000,0.0,0.0,19135.0,32472000,33795000,33507000,0,0,0,4,5,4,0,0,0,13,,,,802,1327;1811;2020;2747;3208;4408,True;True;True;True;True;True,1377;1876;2094;2846;3329;4607,5719;5720;5721;7758;7759;7760;8597;8598;8599;8600;11740;11741;11742;13914;13915;13916;19338;19339;19340,4296;4297;4298;5810;5811;5812;6424;6425;8824;8825;10433;10434;14662,4298;5811;6424;8824;10433;14662,,,-1
E9GS42,E9GS42,3,3,3,tr|E9GS42|E9GS42_DAPPU Mitochondrial import receptor subunit TOM40 homolog 1 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_128731 PE=3 SV=1,1,3,3,3,3,3,3,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,11.5,11.5,11.5,33.328,313,313,0.0,7.9371,By MS/MS,By MS/MS,By MS/MS,,,,11.5,11.5,11.5,0.0,0.0,0.0,84318000,29037000,31629000,23652000,0,0,0,10,8431800,2903700.0,3162900.0,2365200,0.0,0.0,0.0,31899000,30418000,21990000,0,0,0,3,2,2,0,0,0,7,,,,803,477;1883;1904,True;True;True,494;1951;1975,2070;2071;2072;8081;8082;8083;8165;8166;8167,1497;1498;1499;6047;6048;6049;6121,1497;6047;6121,,,-1
E9GS77,E9GS77,12,12,12,"tr|E9GS77|E9GS77_DAPPU Isovaleryl-CoA dehydrogenase, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_53968 PE=3 SV=1",1,12,12,12,12,11,11,4,4,4,12,11,11,4,4,4,12,11,11,4,4,4,32.2,32.2,32.2,43.321,394,394,0.0,81.807,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,32.2,25.9,25.9,8.1,8.1,8.1,707250000,184580000,266020000,233470000,8326600,7662300,7191100,23,30750000,8025300.0,11566000.0,10151000,362020.0,333140.0,312660.0,221430000,197750000,186950000,117200000,109620000,103640000,9,11,12,1,1,1,35,,,,804,736;2666;3073;3268;3946;3947;3966;4068;4684;5021;5372;6111,True;True;True;True;True;True;True;True;True;True;True;True,763;2761;3189;3393;4091;4092;4115;4240;4889;5235;5601;6369,3242;3243;3244;11354;11355;11356;11357;11358;11359;13267;13268;13269;14192;17252;17253;17254;17255;17256;17257;17258;17259;17260;17261;17262;17263;17264;17265;17266;17362;17363;17364;17844;17845;17846;20537;20538;20539;21977;21978;21979;23447;23448;23449;23450;23451;23452;23453;23454;23455;26705;26706;26707;26708;26709;26710,2458;2459;8530;8531;8532;8533;8534;9992;9993;10628;13124;13125;13126;13127;13128;13129;13130;13131;13132;13133;13134;13205;13578;15543;15544;15545;16595;17690;17691;17692;17693;17694;17695;17696;20229;20230,2458;8532;9992;10628;13124;13129;13205;13578;15543;16595;17692;20230,,,-1
E9GSB7,E9GSB7,1,1,1,tr|E9GSB7|E9GSB7_DAPPU MARVEL domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_225638 PE=4 SV=1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,7.9,7.9,7.9,16.795,151,151,0.0,19.462,By MS/MS,By MS/MS,By MS/MS,,,,7.9,7.9,7.9,0.0,0.0,0.0,61204000,16263000,22088000,22853000,0,0,0,6,10201000,2710500.0,3681300.0,3808900,0.0,0.0,0.0,0,0,23524000,0,0,0,1,1,1,0,0,0,3,,,,805,6585,True,6859,28710;28711;28712,21727;21728;21729,21727,,,-1
E9GSC3,E9GSC3,1,1,1,tr|E9GSC3|E9GSC3_DAPPU HSF_DOMAIN domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_213340 PE=3 SV=1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,3.6,3.6,3.6,65.261,586,586,0.0086478,1.2767,By MS/MS,By MS/MS,By MS/MS,,,,3.6,3.6,3.6,0.0,0.0,0.0,77725000,21788000,22485000,33452000,0,0,0,22,3532900,990370.0,1022000.0,1520500,0.0,0.0,0.0,0,0,34434000,0,0,0,1,0,0,0,0,0,1,,,,806,1530,True,1585,6553;6554;6555,4900,4900,,,-1
E9GSF3,E9GSF3,16,16,16,tr|E9GSF3|E9GSF3_DAPPU UDP-glucose:glycoprotein glucosyltransferase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_198312 PE=3 SV=1,1,16,16,16,14,14,15,0,0,1,14,14,15,0,0,1,14,14,15,0,0,1,12.2,12.2,12.2,169.74,1509,1509,0.0,64.234,By MS/MS,By MS/MS,By MS/MS,,,By matching,10.9,10.7,11.3,0.0,0.0,0.6,373060000,126280000,125560000,120710000,0,0,504210,70,5329400,1804000.0,1793700.0,1724500,0.0,0.0,7203.1,127020000,121670000,124610000,0,0,0,11,11,11,0,0,0,33,,,,808,433;932;2271;2719;2967;3290;3889;4485;4975;5040;5399;5427;5655;5999;6033;6290,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,450;963;2353;2816;3079;3415;4033;4685;5189;5255;5629;5659;5898;6253;6289;6555,1894;1895;1896;4001;4002;4003;9690;9691;9692;11581;11582;11583;12811;12812;12813;14286;17014;17015;17016;19629;21764;21765;21766;22058;22059;22060;23567;23568;23734;23735;23736;24677;24678;24679;24680;26289;26290;26291;26417;26418;26419;27484;27485;27486,1378;1379;1380;3016;3017;3018;7256;7257;7258;7259;7260;8706;8707;8708;9672;9673;9674;10686;12956;12957;12958;14882;16425;16426;16655;17799;17962;17963;18666;18667;19907;19908;19909;20003;20004;20005;20837;20838,1378;3016;7256;8707;9673;10686;12958;14882;16425;16655;17799;17963;18667;19907;20005;20837,,,-1
E9GSH2,E9GSH2,9,9,9,tr|E9GSH2|E9GSH2_DAPPU Peptidase_M28 domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_225662 PE=4 SV=1,1,9,9,9,9,9,9,2,2,2,9,9,9,2,2,2,9,9,9,2,2,2,23.8,23.8,23.8,45.598,407,407,0.0,32.825,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,23.8,23.8,23.8,4.4,4.4,4.4,509060000,162930000,171580000,161280000,4522800,4374000,4365400,20,25453000,8146700.0,8579200.0,8064000,226140.0,218700.0,218270.0,199870000,119240000,108170000,71730000,70664000,71030000,9,8,8,0,0,0,25,,,,809,2129;2213;2467;3256;4244;4874;5018;5276;6542,True;True;True;True;True;True;True;True;True,2207;2294;2551;3380;4434;5085;5232;5500;6815,9076;9077;9078;9079;9080;9081;9442;9443;9444;10520;10521;10522;10523;10524;14131;14132;14133;18604;18605;18606;18607;18608;18609;21348;21349;21350;21963;21964;21965;23058;23059;23060;28541;28542;28543,6794;6795;6796;7063;7064;7065;7888;7889;7890;7891;10583;10584;14134;16106;16107;16108;16585;16586;16587;17398;17399;17400;21609;21610;21611,6794;7063;7888;10584;14134;16108;16587;17400;21610,,,-1
E9GSI0,E9GSI0,1,1,1,tr|E9GSI0|E9GSI0_DAPPU T-complex protein 1 subunit beta OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_213377 PE=3 SV=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.2,2.2,2.2,57.953,534,534,0.0,2.817,By matching,By matching,By matching,By MS/MS,By MS/MS,By MS/MS,2.2,2.2,2.2,2.2,2.2,2.2,64127000,21650000,22576000,15469000,1339200,1213800,1878800,31,2068600,698400.0,728250.0,498990,43201.0,39156.0,60606.0,0,0,0,0,0,20590000,0,0,0,0,1,1,2,,,,810,1970,True,2042,8421;8422;8423;8424;8425;8426,6304;6305,6305,,,-1
E9GSQ2,E9GSQ2,1,1,1,tr|E9GSQ2|E9GSQ2_DAPPU Phospholipase B-like OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_213420 PE=3 SV=1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,2.3,2.3,2.3,64.84,567,567,0.007109,1.2942,By matching,By MS/MS,By MS/MS,,,,2.3,2.3,2.3,0.0,0.0,0.0,10289000,3376800,3156600,3755700,0,0,0,21,489960,160800.0,150310.0,178840,0.0,0.0,0.0,0,0,3866000,0,0,0,0,0,1,0,0,0,1,,,,811,6475,True,6744,28258;28259;28260,21408,21408,,,-1
E9GSR2;E9GSR0;E9GSQ9;E9GSR3;E9GSQ8,E9GSR2;E9GSR0;E9GSQ9,3;3;3;1;1,3;3;3;1;1,3;3;3;1;1,tr|E9GSR2|E9GSR2_DAPPU G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Daphnia pulex OX=6669 GN=LOPB5 PE=3 SV=1;tr|E9GSR0|E9GSR0_DAPPU G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Daphnia pulex OX=6669 GN=LOPB4 PE=3 SV=1;tr|E9GSQ9|E9GSQ9_DAPPU G_PRO,5,3,3,3,3,3,3,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,9.0,9.0,9.0,43.258,387,387;387;387;384;386,0.0,3.3824,By MS/MS,By MS/MS,By MS/MS,,,,9.0,9.0,9.0,0.0,0.0,0.0,39645000,13826000,12916000,12903000,0,0,0,14,2831800,987610.0,922550.0,921640,0.0,0.0,0.0,16734000,11108000,11894000,0,0,0,2,0,0,0,0,0,2,,,,812,597;2781;5566,True;True;True,615;2883;5804,2600;2601;2602;11906;11907;11908;24325;24326;24327,1949;8949;18395,1949;8949;18395,,,-1;-1;-1;-1;-1
E9GSY7,E9GSY7,9,9,9,tr|E9GSY7|E9GSY7_DAPPU Notch 2 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_247827 PE=3 SV=1,1,9,9,9,9,9,9,2,0,2,9,9,9,2,0,2,9,9,9,2,0,2,2.7,2.7,2.7,423.52,3881,3881,0.0,32.986,By MS/MS,By MS/MS,By MS/MS,By matching,,By matching,2.7,2.7,2.7,0.4,0.0,0.5,185660000,60964000,65324000,55266000,1421300,0,2681700,160,1160400,381030.0,408270.0,345410,8883.0,0.0,16761.0,54843000,46741000,40693000,36983000,0,47186000,8,7,5,0,0,0,20,,,,813,1923;2286;2351;2843;3748;5095;5673;5791;6564,True;True;True;True;True;True;True;True;True,1994;2368;2434;2948;3889;5315;5917;6043;6838,8227;8228;8229;8230;9755;9756;9757;10013;10014;10015;12191;12192;12193;12194;12195;12196;16406;16407;16408;22282;22283;22284;22285;24756;24757;24758;24759;24760;25383;25384;25385;28639;28640;28641,6166;7310;7311;7496;9192;9193;9194;9195;9196;9197;12511;12512;12513;16816;16817;16818;18722;18723;19246;19247;19248;21677,6166;7310;7496;9192;12512;16817;18723;19247;21677,,,-1
E9GT27,E9GT27,1,1,1,tr|E9GT27|E9GT27_DAPPU AMP-binding domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_213488 PE=4 SV=1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,2.0,2.0,2.0,79.456,707,707,0.0,3.1985,By MS/MS,By MS/MS,By MS/MS,,,,2.0,2.0,2.0,0.0,0.0,0.0,10085000,3798100,2892600,3394600,0,0,0,28,360190,135640.0,103310.0,121230,0.0,0.0,0.0,0,0,3494200,0,0,0,1,1,1,0,0,0,3,,,,814,5369,True,5598,23434;23435;23436,17680;17681;17682,17681,,,-1
E9GT82,E9GT82,3,3,3,tr|E9GT82|E9GT82_DAPPU Staphylococcal nuclease domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305840 PE=4 SV=1,1,3,3,3,3,3,3,1,1,1,3,3,3,1,1,1,3,3,3,1,1,1,4.4,4.4,4.4,101.63,913,913,0.0,6.9569,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,By matching,4.4,4.4,4.4,1.2,1.2,1.2,38283000,12073000,12724000,10628000,1141500,802260,913700,51,750650,236730.0,249500.0,208400,22383.0,15731.0,17916.0,10785000,12046000,12623000,0,0,0,2,3,3,0,0,0,8,,,,815,4568;4837;5709,True;True;True,4769;5048;5955,19968;19969;19970;19971;19972;19973;21194;21195;21196;24923;24924;24925;24926;24927,15116;15117;15118;15990;15991;18831;18832;18833;18834,15118;15991;18832,,,-1
E9GTA6;E9GUJ9,E9GTA6,4;1,3;0,3;0,tr|E9GTA6|E9GTA6_DAPPU Aldedh domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305826 PE=3 SV=1,2,4,3,3,4,4,3,1,1,1,3,3,2,0,0,0,3,3,2,0,0,0,11.0,9.4,9.4,52.857,489,489;486,0.0,5.1695,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,By matching,11.0,11.0,6.3,1.6,1.6,1.6,30273000,11747000,11508000,7017500,0,0,0,28,1081200,419550.0,411010.0,250630,0.0,0.0,0.0,10746000,10491000,8985600,0,0,0,3,2,1,0,0,0,6,,,,816,1255;2538;3167;6180,True;True;True;False,1302;2627;3288;6439,5419;5420;5421;10845;10846;10847;13720;13721;27002;27003;27004;27005;27006;27007,4083;4084;8124;8125;8126;10285;20452;20453,4083;8126;10285;20452,,,-1;-1
E9GTA8,E9GTA8,3,3,3,tr|E9GTA8|E9GTA8_DAPPU Calcium/calmodulin-dependent protein kinase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_198415 PE=3 SV=1,1,3,3,3,3,3,3,1,1,1,3,3,3,1,1,1,3,3,3,1,1,1,7.4,7.4,7.4,59.192,524,524,0.0,14.734,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,By matching,7.4,7.4,7.4,1.3,1.3,1.3,67829000,26023000,13757000,21602000,1896400,2665200,1886600,28,2422500,929380.0,491310.0,771480,67727.0,95187.0,67379.0,23236000,19711000,18762000,0,0,0,3,3,2,0,0,0,8,,,,817,184;377;4288,True;True;True,193;390;4480,772;773;774;1632;1633;1634;1635;1636;1637;18815;18816;18817,578;579;580;1185;1186;14301;14302;14303,580;1186;14302,,,-1
E9GTL9,E9GTL9,3,3,3,tr|E9GTL9|E9GTL9_DAPPU Fatty acyl-CoA reductase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_321695 PE=3 SV=1,1,3,3,3,3,2,2,1,1,0,3,2,2,1,1,0,3,2,2,1,1,0,7.2,7.2,7.2,56.926,500,500,0.0,8.1432,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,,7.2,4.6,4.6,1.6,1.6,0.0,36630000,14511000,8983400,10571000,1158300,1406000,0,24,1526200,604620.0,374310.0,440460,48264.0,58583.0,0.0,11337000,9891300,12947000,0,0,0,2,1,2,0,0,0,5,,,,818,255;1518;5216,True;True;True,264;1573;5437,1076;1077;1078;1079;1080;6513;6514;6515;22770,815;4867;4868;4869;17168,815;4868;17168,,,-1
E9GTM2,E9GTM2,2,2,2,tr|E9GTM2|E9GTM2_DAPPU Chitin-binding type-2 domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_106356 PE=4 SV=1,1,2,2,2,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,18.6,18.6,18.6,16.9,145,145,0.0,47.124,By MS/MS,By MS/MS,By MS/MS,,,,18.6,18.6,18.6,0.0,0.0,0.0,58447000,25910000,11340000,21197000,0,0,0,7,8349600,3701400.0,1620000.0,3028200,0.0,0.0,0.0,24657000,16986000,17174000,0,0,0,4,2,2,0,0,0,8,,,,819,2565;2862,True;True,2656;2969;2970,10951;10952;10953;12307;12308;12309;12310;12311;12312;12313;12314;12315,8212;9295;9296;9297;9298;9299;9300;9301,8212;9300,218,99,-1
E9GTM3,E9GTM3,1,1,1,tr|E9GTM3|E9GTM3_DAPPU PNP_UDP_1 domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_305911 PE=3 SV=1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,4.9,4.9,4.9,41.401,370,370,0.0,2.528,By matching,By MS/MS,By MS/MS,,,,4.9,4.9,4.9,0.0,0.0,0.0,9937800,3696200,3189600,3051900,0,0,0,21,473230,176010.0,151890.0,145330,0.0,0.0,0.0,0,0,3141500,0,0,0,0,1,1,0,0,0,2,,,,820,1439,True,1492,6221;6222;6223,4658;4659,4658,,,-1
E9GTN3,E9GTN3,19,19,19,tr|E9GTN3|E9GTN3_DAPPU Laminin subunit gamma-1 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_321711 PE=4 SV=1,1,19,19,19,19,19,17,2,2,2,19,19,17,2,2,2,19,19,17,2,2,2,13.7,13.7,13.7,178.09,1626,1626,0.0,102.95,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,13.7,13.7,12.6,1.2,1.4,1.2,899150000,303980000,326140000,265650000,252030,1923100,1207200,86,10455000,3534700.0,3792300.0,3089000,2930.5,22361.0,14037.0,378750000,382990000,124910000,0,25129000,18575000,14,16,16,1,1,1,49,,,,821,740;803;1089;1139;1193;1446;1836;1948;2405;3031;3657;4471;4633;5120;5460;5465;5783;6223;6497,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,767;830;1130;1183;1238;1499;1901;2019;2489;3144;3797;4671;4838;5340;5692;5697;6035;6486;6768,3257;3258;3259;3464;3465;3466;4722;4723;4724;4935;4936;4937;5150;5151;5152;6249;6250;6251;7848;7849;7850;7851;7852;7853;8325;8326;8327;8328;10263;10264;10265;10266;10267;13077;13078;16052;16053;16054;19564;19565;19566;20292;20293;20294;22384;22385;22386;23863;23864;23865;23887;23888;23889;25360;25361;25362;27210;27211;27212;27213;27214;28371;28372;28373,2470;2471;2472;2626;2627;3572;3573;3574;3720;3721;3722;3886;3887;3888;4677;4678;4679;5877;5878;5879;6230;6231;6232;7702;7703;7704;9878;9879;12240;12241;12242;14836;15356;15357;15358;16886;16887;18052;18053;18054;18065;19229;19230;19231;20627;20628;20629;20630;21490;21491;21492,2470;2627;3574;3721;3886;4678;5878;6231;7704;9878;12241;14836;15357;16887;18053;18065;19231;20628;21491,219,1130,-1
E9GTN4,E9GTN4,4,4,3,tr|E9GTN4|E9GTN4_DAPPU PKS_ER domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_54597 PE=4 SV=1,1,4,4,3,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,15.2,15.2,10.8,34.136,323,323,0.0,5.9267,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,4.6,2.5,8.7,6.8,6.8,6.8,77595000,29446000,14185000,12273000,7732800,7082700,6874900,16,4849700,1840400.0,886560.0,767050,483300.0,442670.0,429680.0,0,0,0,0,0,75343000,2,1,2,1,1,1,8,,,,822,241;2210;5887;6266,True;True;True;True,250;2291;6140;6530,1020;9428;9429;9430;9431;9432;9433;25793;25794;25795;27404,764;7056;7057;7058;19529;19530;19531;20765,764;7056;19530;20765,,,-1
E9GTN6,E9GTN6,1,1,1,tr|E9GTN6|E9GTN6_DAPPU Dehydrogenase/reductase SDR family member 12 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_54584 PE=4 SV=1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,4.0,4.0,4.0,35.974,323,323,0.0,2.1036,By MS/MS,By MS/MS,By MS/MS,,,,4.0,4.0,4.0,0.0,0.0,0.0,13856000,4589200,4971100,4295300,0,0,0,22,629800,208600.0,225960.0,195240,0.0,0.0,0.0,0,0,4421400,0,0,0,1,1,1,0,0,0,3,,,,823,5261,True,5485,22990;22991;22992,17355;17356;17357,17355,,,-1
E9GTP3,E9GTP3,22,22,22,tr|E9GTP3|E9GTP3_DAPPU Clathrin heavy chain OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_213575 PE=3 SV=1,1,22,22,22,21,21,20,5,5,4,21,21,20,5,5,4,21,21,20,5,5,4,15.6,15.6,15.6,190.22,1663,1663,0.0,148.64,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By matching,15.2,14.7,14.3,3.5,3.0,2.6,622450000,209690000,200910000,198800000,4461600,6184300,2413000,95,6552100,2207200.0,2114800.0,2092600,46964.0,65098.0,25400.0,174000000,213310000,272690000,28544000,48448000,15278000,19,19,16,0,1,0,55,,,,824,66;249;330;411;487;1285;2236;2400;2696;2902;3021;3194;3615;4334;4730;5006;5401;5487;5721;5900;6072;6253,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,70;258;342;426;504;1333;2318;2484;2793;3014;3133;3315;3752;4531;4939;5220;5631;5719;5968;6153;6330;6516,307;308;309;310;311;312;1047;1048;1049;1050;1421;1422;1423;1424;1425;1426;1790;1791;1792;1793;2177;2178;2179;2180;5530;5531;5532;5533;9541;10245;10246;10247;11492;11493;11494;11495;12537;12538;12539;13033;13034;13035;13036;13037;13038;13848;13849;13850;13851;13852;15888;15889;15890;19040;19041;19042;20756;20757;20758;20759;20760;20761;21906;21907;21908;21909;21910;23575;23576;23577;23578;23971;23972;23973;24997;24998;24999;25828;25829;25830;26579;27337;27338;27339,233;234;235;236;237;789;1054;1055;1056;1057;1058;1059;1295;1296;1297;1641;1642;1643;1644;4166;4167;4168;7135;7686;7687;8633;9467;9468;9469;9850;10382;10383;10384;10385;10386;12134;12135;12136;14461;15684;15685;15686;16543;16544;17803;17804;17805;18134;18135;18918;19556;19557;19558;20131;20728;20729;20730,235;789;1055;1295;1642;4167;7135;7686;8633;9467;9850;10385;12135;14461;15684;16544;17805;18135;18918;19558;20131;20728,,,-1
E9GTP4,E9GTP4,11,11,11,tr|E9GTP4|E9GTP4_DAPPU Voltage-dependent anion-selective channel OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_231133 PE=3 SV=1,1,11,11,11,11,11,11,6,4,4,11,11,11,6,4,4,11,11,11,6,4,4,43.4,43.4,43.4,30.312,281,281,0.0,96.147,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,43.4,43.4,43.4,17.8,13.9,13.9,3396600000,1173000000,1133700000,1020500000,22430000,22416000,24543000,15,226440000,78197000.0,75581000.0,68034000,1495300.0,1494400.0,1636200.0,1246500000,1282000000,904070000,139900000,157950000,165510000,13,12,13,1,1,0,40,,,,825,462;794;2364;2669;2829;3825;3826;4333;6256;6329;6553,True;True;True;True;True;True;True;True;True;True;True,479;821;2447;2764;2934;3969;3970;4530;6519;6595;6827,2004;2005;2006;2007;2008;2009;3437;3438;3439;10065;10066;10067;10068;10069;10070;11367;11368;11369;11370;11371;11372;12140;12141;12142;12143;12144;12145;16764;16765;16766;16767;16768;16769;16770;16771;16772;16773;16774;16775;16776;16777;16778;16779;19037;19038;19039;27350;27351;27352;27353;27354;27355;27639;27640;27641;28591;28592;28593;28594;28595;28596,1454;1455;1456;1457;1458;2601;2602;2603;7542;7543;7544;8540;8541;8542;8543;8544;8545;9154;9155;9156;9157;9158;12790;12791;12792;12793;12794;12795;12796;12797;14458;14459;14460;20735;20736;20737;20941;20942;20943;21646;21647;21648,1458;2603;7542;8543;9154;12790;12795;14460;20737;20943;21646,,,-1
